name,gender,medal_type,country,event,discipline,url
DENG Yu-Cheng,Male,Silver ,Chinese Taipei,Men's Team,Archery,../../../en/results/archery/athlete-profile-n1324047-deng-yu-cheng.htm
FURUKAWA Takaharu,Male,Bronze ,Japan,Men's Team,Archery,../../../en/results/archery/athlete-profile-n1313434-furukawa-takaharu.htm
KAWATA Yuki,Male,Bronze ,Japan,Men's Team,Archery,../../../en/results/archery/athlete-profile-n1313435-kawata-yuki.htm
MUTO Hiroki,Male,Bronze ,Japan,Men's Team,Archery,../../../en/results/archery/athlete-profile-n1313432-muto-hiroki.htm
ABLIAZIN Denis,Male,Gold ,ROC,Men's Team,Artistic Gymnastics,../../../en/results/artistic-gymnastics/athlete-profile-n1406250-abliazin-denis.htm
BELYAVSKIY David,Male,Gold ,ROC,Men's Team,Artistic Gymnastics,../../../en/results/artistic-gymnastics/athlete-profile-n1406251-belyavskiy-david.htm
DALALOYAN Artur,Male,Gold ,ROC,Men's Team,Artistic Gymnastics,../../../en/results/artistic-gymnastics/athlete-profile-n1406253-dalaloyan-artur.htm
NAGORNYY Nikita,Male,Gold ,ROC,Men's Team,Artistic Gymnastics,../../../en/results/artistic-gymnastics/athlete-profile-n1406257-nagornyy-nikita.htm
KAYA Kazuma,Male,Silver ,Japan,Men's Team,Artistic Gymnastics,../../../en/results/artistic-gymnastics/athlete-profile-n1318235-kaya-kazuma.htm
TANIGAWA Wataru,Male,Silver ,Japan,Men's Team,Artistic Gymnastics,../../../en/results/artistic-gymnastics/athlete-profile-n1318236-tanigawa-wataru.htm
KITAZONO Takeru,Male,Silver ,Japan,Men's Team,Artistic Gymnastics,../../../en/results/artistic-gymnastics/athlete-profile-n1318259-kitazono-takeru.htm
HASHIMOTO Daiki,Male,Silver ,Japan,Men's Team,Artistic Gymnastics,../../../en/results/artistic-gymnastics/athlete-profile-n1318265-hashimoto-daiki.htm
LIN Chaopan,Male,Bronze ,People's Republic of China,Men's Team,Artistic Gymnastics,../../../en/results/artistic-gymnastics/athlete-profile-n1323022-lin-chaopan.htm
SUN Wei,Male,Bronze ,People's Republic of China,Men's Team,Artistic Gymnastics,../../../en/results/artistic-gymnastics/athlete-profile-n1323036-sun-wei.htm
XIAO Ruoteng,Male,Bronze ,People's Republic of China,Men's Team,Artistic Gymnastics,../../../en/results/artistic-gymnastics/athlete-profile-n1318476-xiao-ruoteng.htm
ZOU Jingyuan,Male,Bronze ,People's Republic of China,Men's Team,Artistic Gymnastics,../../../en/results/artistic-gymnastics/athlete-profile-n1323057-zou-jingyuan.htm
SAVSEK Benjamin,Male,Gold ,Slovenia,Men's Canoe,Canoe Slalom,../../../en/results/canoe-slalom/athlete-profile-n1429559-savsek-benjamin.htm
ROHAN Lukas,Male,Silver ,Czech Republic,Men's Canoe,Canoe Slalom,../../../en/results/canoe-slalom/athlete-profile-n1402108-rohan-lukas.htm
TASIADIS Sideris,Male,Bronze ,Germany,Men's Canoe,Canoe Slalom,../../../en/results/canoe-slalom/athlete-profile-n1333389-tasiadis-sideris.htm
PIDCOCK Thomas,Male,Gold ,Great Britain,Men's Cross-country,Cycling Mountain Bike,../../../en/results/cycling-mountain-bike/athlete-profile-n1474966-pidcock-thomas.htm
FLUECKIGER Mathias,Male,Silver ,Switzerland,Men's Cross-country,Cycling Mountain Bike,../../../en/results/cycling-mountain-bike/athlete-profile-n1465731-flueckiger-mathias.htm
VALERO SERRANO David,Male,Bronze ,Spain,Men's Cross-country,Cycling Mountain Bike,../../../en/results/cycling-mountain-bike/athlete-profile-n1341906-valero-serrano-david.htm
DALEY Thomas,Male,Gold ,Great Britain,Men's Synchronised 10m Platform,Diving,../../../en/results/diving/athlete-profile-n1444126-daley-thomas.htm
