name,gender,country,country_code,discipline,url,name_length
ADAM Amal,Female,Egypt,EGY,Archery,../../../en/results/archery/athlete-profile-n1378864-adam-amal.htm,9
ADAM Constantin,Male,Romania,ROU,Rowing,../../../en/results/rowing/athlete-profile-n1285944-adam-constantin.htm,15
ADAMEK Klaudia,Female,Poland,POL,Athletics,../../../en/results/athletics/athlete-profile-n1324426-adamek-klaudia.htm,14
ADAMKIEWICZ Patrycja,Female,Poland,POL,Taekwondo,../../../en/results/taekwondo/athlete-profile-n1312363-adamkiewicz-patrycja.htm,20
ADAMS Liam,Male,Australia,AUS,Athletics,../../../en/results/athletics/athlete-profile-n1481512-adams-liam.htm,10
ADAMS Paul,Male,Australia,AUS,Shooting,../../../en/results/shooting/athlete-profile-n1349681-adams-paul.htm,10
ADAMS Taeyanna,Female,Federated States of Micronesia,FSM,Swimming,../../../en/results/swimming/athlete-profile-n1311419-adams-taeyanna.htm,14
ADAMS Valerie,Female,New Zealand,NZL,Athletics,../../../en/results/athletics/athlete-profile-n1469883-adams-valerie.htm,13
ADAMUS Bartlomiej Stefan,Male,Poland,POL,Weightlifting,../../../en/results/weightlifting/athlete-profile-n1325175-adamus-bartlomiej-stefan.htm,24
ADAR Yasemin,Female,Turkey,TUR,Wrestling,../../../en/results/wrestling/athlete-profile-n1382524-adar-yasemin.htm,12
ADEBAYO Bam,Male,United States of America,USA,Basketball,../../../en/results/basketball/athlete-profile-n1312780-adebayo-bam.htm,11
ADEGOKE Enoch,Male,Nigeria,NGR,Athletics,../../../en/results/athletics/athlete-profile-n1386905-adegoke-enoch.htm,13
ADEKUOROYE Odunayo Folasade,Female,Nigeria,NGR,Wrestling,../../../en/results/wrestling/athlete-profile-n1350931-adekuoroye-odunayo-folasade.htm,27
ADEL Ibrahim,Male,Egypt,EGY,Football,../../../en/results/football/athlete-profile-n1376999-adel-ibrahim.htm,12
ADENIYI Aminat Oluwafunmilayo,Female,Nigeria,NGR,Wrestling,../../../en/results/wrestling/athlete-profile-n1351136-adeniyi-aminat-oluwafunmilayo.htm,29
ADESOKAN Dorcas Ajoke,Female,Nigeria,NGR,Badminton,../../../en/results/badminton/athlete-profile-n1366795-adesokan-dorcas-ajoke.htm,21
ADILKHANOVA Alina,Female,Kazakhstan,KAZ,Rhythmic Gymnastics,../../../en/results/rhythmic-gymnastics/athlete-profile-n1307017-adilkhanova-alina.htm,17
ADLERTEG Jonna,Female,Sweden,SWE,Artistic Gymnastics,../../../en/results/artistic-gymnastics/athlete-profile-n1352229-adlerteg-jonna.htm,14
ADLINGTON Sarah,Female,Great Britain,GBR,Judo,../../../en/results/judo/athlete-profile-n1440148-adlington-sarah.htm,15
ADO Pauline,Female,France,FRA,Surfing,../../../en/results/surfing/athlete-profile-n1381745-ado-pauline.htm,11
ADOLF Balazs,Male,Hungary,HUN,Canoe Sprint,../../../en/results/canoe-sprint/athlete-profile-n1301815-adolf-balazs.htm,12
ADOMAVICIUS Aurimas,Male,Lithuania,LTU,Rowing,../../../en/results/rowing/athlete-profile-n1291077-adomavicius-aurimas.htm,19
AEDO Yanara,Female,Chile,CHI,Football,../../../en/results/football/athlete-profile-n1332435-aedo-yanara.htm,11
AERNOUDTS Violaine,Female,France,FRA,Rowing,../../../en/results/rowing/athlete-profile-n1325544-aernoudts-violaine.htm,18
AFANADOR Brian,Male,Puerto Rico,PUR,Table Tennis,../../../en/results/table-tennis/athlete-profile-n1296235-afanador-brian.htm,14
AFONSO Paixao,Male,Angola,ANG,Sailing,../../../en/results/sailing/athlete-profile-n1429019-afonso-paixao.htm,13
AFONSO Salome,Female,Portugal,POR,Athletics,../../../en/results/athletics/athlete-profile-n1450180-afonso-salome.htm,13
AFOUMBA Gilles Anthony,Male,Congo,CGO,Athletics,../../../en/results/athletics/athlete-profile-n1298940-afoumba-gilles-anthony.htm,22
AFREMOVA Natalia,Female,ROC,ROC,Cycling BMX Racing,../../../en/results/cycling-bmx-racing/athlete-profile-n1425461-afremova-natalia.htm,16
AFRIAT Charlotte,Female,Monaco,MON,Athletics,../../../en/results/athletics/athlete-profile-n1413273-afriat-charlotte.htm,16
AGADA Caleb,Male,Nigeria,NGR,Basketball,../../../en/results/basketball/athlete-profile-n1399064-agada-caleb.htm,11
